Rk,Player,Date,Age,Team,Unnamed: 5,Opp,Result,"App,Dec",IP,H,R,ER,UER,HR,BB,IBB,SO,HBP,BK,WP,BF,BR,Pos
1,Kolby Allard,2025-06-13,27-304,CLE,@,SEA,"L, 2-7",7-GF(8),1.2,5,1,1,0,1,0,0,1,0,0,0,10,5,P
2,Dan Altavilla,2025-06-13,32-278,CHW,@,TEX,"L, 1-3",6-6,1.0,0,0,0,0,0,0,0,0,1,0,0,3,1,P
3,Shawn Armstrong,2025-06-13,34-275,TEX,,CHW,"W, 3-1",GS-3,3.0,0,0,0,0,0,0,0,5,0,0,0,9,0,P
4,Kyle Backhus,2025-06-13,27-133,ARI,,SDP,"W, 5-1",6-7,1.1,0,0,0,0,0,1,0,0,0,0,0,4,1,P
5,Bryan Baker,2025-06-13,30-193,BAL,,LAA,"W, 2-0","8-8, H",1.0,0,0,0,0,0,0,0,2,0,0,0,3,0,P
6,Scott Barlow,2025-06-13,32-177,CIN,@,DET,"L, 5-11",6-6,0.1,1,2,2,0,0,1,0,0,0,0,0,3,2,P
7,Félix Bautista,2025-06-13,29-358,BAL,,LAA,"W, 2-0","9-GF, S",1.0,0,0,0,0,0,0,0,2,0,0,0,3,0,P
8,Eduard Bazardo,2025-06-13,29-285,SEA,,CLE,"W, 7-2",9-GF,1.0,0,0,0,0,0,0,0,0,0,0,0,3,0,P
9,David Bednar,2025-06-13,30-246,PIT,@,CHC,"W, 2-1 (10)","10-GF(10), S",1.0,0,0,0,0,0,0,0,0,0,0,0,3,0,P
10,Valente Bellozo,2025-06-13,25-160,MIA,@,WSN,"W, 11-9",6-7,1.1,5,4,4,0,0,0,0,1,0,0,0,9,5,P
11,Anthony Bender,2025-06-13,30-130,MIA,@,WSN,"W, 11-9","8-8, H",0.1,0,0,0,0,0,0,0,0,0,0,0,1,0,P
12,Jake Bird,2025-06-13,29-191,COL,@,ATL,"L, 4-12","6-6,BS",1.0,2,3,3,0,1,1,0,1,0,0,1,6,3,P
13,Paul Blackburn,2025-06-13,31-191,NYM,,TBR,"L, 5-7",6-6,0.1,4,4,4,0,0,0,0,0,0,0,0,5,4,P
14,Taj Bradley,2025-06-13,24-085,TBR,@,NYM,"W, 7-5",GS-5,4.0,4,5,0,5,0,4,0,5,0,0,0,21,10,P
15,Matt Brash,2025-06-13,27-032,SEA,,CLE,"W, 7-2",8-8,1.0,1,0,0,0,0,0,0,0,0,0,0,4,1,P
16,Ryan Brasier,2025-06-13,37-291,CHC,,PIT,"L, 1-2 (10)",7-7,1.0,1,0,0,0,0,0,0,1,0,0,0,3,1,P
17,John Brebbia,2025-06-13,35-014,DET,,CIN,"W, 11-5",9-9,0.1,3,3,3,0,0,1,0,1,0,0,1,5,4,P
18,Connor Brogdon,2025-06-13,30-135,LAA,@,BAL,"L, 0-2",5-5,0.2,0,0,0,0,0,0,0,0,0,0,0,3,0,P
19,Aaron Bummer,2025-06-13,31-265,ATL,,COL,"W, 12-4",4-5,0.2,2,0,0,0,0,0,0,0,0,0,0,3,2,P
20,Brock Burke,2025-06-13,28-313,LAA,@,BAL,"L, 0-2",6-6,0.2,1,0,0,0,0,3,1,0,0,0,0,5,4,P
