Rk,Player,Date,Age,Team,Unnamed: 5,Opp,Result,"App,Dec",IP,H,R,ER,UER,HR,BB,IBB,SO,HBP,BK,WP,BF,BR,Pos
1,Steven Cruz,2025-06-05 (2),25-355,KCR,@,STL,"W, 7-5","7-8, H",2.0,1,0,0,0,0,0,0,4,0,0,0,7,1,P
2,Carlos Estévez,2025-06-05 (2),32-159,KCR,@,STL,"W, 7-5","9-GF, S",1.0,0,0,0,0,0,0,0,1,0,0,0,3,0,P
3,John King,2025-06-05 (2),30-264,STL,,KCR,"L, 5-7",5-5,0.2,1,0,0,0,0,0,0,1,0,0,0,3,1,P
4,Kyle Leahy,2025-06-05 (2),28-001,STL,,KCR,"L, 5-7",5-7,2.0,3,0,0,0,0,0,0,2,0,0,0,9,3,P
5,Matthew Liberatore,2025-06-05 (2),25-211,STL,,KCR,"L, 5-7","GS-5, L",4.0,8,7,7,0,2,1,0,2,0,0,0,21,9,P
6,Phil Maton,2025-06-05 (2),32-072,STL,,KCR,"L, 5-7",9-GF,1.0,0,0,0,0,0,1,0,1,0,0,0,4,1,P
7,Cole Ragans,2025-06-05 (2),27-175,KCR,@,STL,"W, 7-5",GS-3,3.0,5,5,5,0,1,3,0,4,1,0,0,18,9,P
8,Matt Svanson,2025-06-05 (2),26-125,STL,,KCR,"L, 5-7",7-8,1.1,0,0,0,0,0,1,0,0,0,0,0,4,1,P
9,Ángel Zerpa,2025-06-05 (2),25-251,KCR,@,STL,"W, 7-5","4-6, W",3.0,1,0,0,0,0,1,0,4,1,0,0,11,3,P
10,Jonathan Bowlan,2025-06-05 (1),28-186,KCR,@,STL,"L, 5-6 (10)",9-9,1.0,0,0,0,0,0,0,0,0,0,0,0,3,0,P
11,Noah Cameron,2025-06-05 (1),25-323,KCR,@,STL,"L, 5-6 (10)",GS-6,6.0,2,0,0,0,0,2,0,3,0,0,0,21,4,P
12,Taylor Clarke,2025-06-05 (1),32-023,KCR,@,STL,"L, 5-6 (10)","8-8,BS",0.2,1,1,1,0,1,0,0,0,0,0,0,3,1,P
13,Carlos Estévez,2025-06-05 (1),32-159,KCR,@,STL,"L, 5-6 (10)","10-GF(10), BL",0.1,2,2,1,1,0,1,1,0,0,0,0,4,3,P
14,Ryan Helsley,2025-06-05 (1),30-322,STL,,KCR,"W, 6-5 (10)","9-9,BS",1.0,2,1,1,0,0,1,1,0,0,0,0,6,3,P
15,John King,2025-06-05 (1),30-264,STL,,KCR,"W, 6-5 (10)",8-8,0.1,0,0,0,0,0,0,0,0,0,0,0,1,0,P
16,Daniel Lynch IV,2025-06-05 (1),28-200,KCR,@,STL,"L, 5-6 (10)","7-8, H",1.0,0,1,1,0,0,0,0,0,1,0,0,4,1,P
17,Miles Mikolas,2025-06-05 (1),36-286,STL,,KCR,"W, 6-5 (10)",GS-6,6.0,8,3,3,0,1,1,0,2,0,0,0,26,9,P
18,Riley O'Brien,2025-06-05 (1),30-119,STL,,KCR,"W, 6-5 (10)",7-8,1.2,1,0,0,0,0,0,0,1,0,0,0,6,1,P
19,JoJo Romero,2025-06-05 (1),28-269,STL,,KCR,"W, 6-5 (10)","10-GF(10), W",1.0,1,1,0,1,0,0,0,1,0,0,0,4,1,P
20,John Schreiber,2025-06-05 (1),31-092,KCR,@,STL,"L, 5-6 (10)","7-7, H",0.1,3,2,1,1,0,0,0,0,0,0,0,5,3,P
21,Bryan Abreu,2025-06-05,28-044,HOU,@,PIT,"W, 8-2",8-8,1.0,0,0,0,0,0,0,0,3,0,0,0,3,0,P
22,Keegan Akin,2025-06-05,30-065,BAL,@,SEA,"W, 4-3","7-7, H",1.0,0,0,0,0,0,0,0,1,0,0,0,3,0,P
23,Jorge Alcalá,2025-06-05,29-312,MIN,@,ATH,"L, 3-14",4-4,0.1,3,3,3,0,1,1,0,1,0,0,0,5,4,P
24,Kolby Allard,2025-06-05,27-296,CLE,@,NYY,"L, 0-4",7-7,0.1,3,0,0,0,0,0,0,0,0,0,0,4,3,P
25,Dan Altavilla,2025-06-05,32-270,CHW,,DET,"W, 3-2 (10)",9-10,1.0,1,0,0,0,0,1,0,2,0,0,0,5,2,P
26,Shawn Armstrong,2025-06-05,34-267,TEX,@,TBR,"L, 3-4","7-7, H",0.1,0,0,0,0,0,0,0,1,0,0,0,1,0,P
27,Bryan Baker,2025-06-05,30-185,BAL,@,SEA,"W, 4-3","9-GF, S",1.0,1,0,0,0,0,0,0,2,0,0,0,4,1,P
28,Chris Bassitt,2025-06-05,36-103,TOR,,PHI,"W, 9-1","GS-7, W",7.0,5,1,1,0,0,2,0,6,0,0,0,28,7,P
29,Scott Blewett,2025-06-05,29-056,ATL,,ARI,"L, 10-11",8-9,1.1,3,5,5,0,3,2,0,1,0,0,0,9,5,P
30,Cam Booser,2025-06-05,33-032,CHW,,DET,"W, 3-2 (10)",8-8,1.0,0,0,0,0,0,2,1,1,0,0,1,5,2,P
31,Ryan Borucki,2025-06-05,31-066,PIT,,HOU,"L, 2-8",9-GF,1.0,2,2,2,0,1,0,0,1,0,0,0,5,2,P
32,Jonah Bride,2025-06-05,29-160,MIN,@,ATH,"L, 3-14",7-GF(8),2.0,4,2,2,0,0,2,0,1,0,0,0,12,6,3B P
33,Beau Brieske,2025-06-05,27-062,DET,@,CHW,"L, 2-3 (10)","10-GF(10), L",0.1,1,1,0,1,0,1,1,0,0,0,0,3,2,P
