Rk,Player,Date,Age,Team,Unnamed: 5,Opp,Result,"App,Dec",IP,H,R,ER,UER,HR,BB,IBB,SO,HBP,BK,WP,BF,BR,Pos
1,Kolby Allard,2025-06-09,27-300,CLE,,CIN,"L, 4-7",8-GF,2.0,3,1,0,1,0,0,0,1,0,0,0,10,4,P
2,Shaun Anderson,2025-06-09,30-223,LAA,,ATH,"W, 7-4",9-9,0.2,2,2,2,0,1,0,0,0,0,0,0,4,2,P
3,Grant Anderson,2025-06-09,27-353,MIL,,ATL,"L, 1-7",8-GF,1.1,3,3,3,0,1,3,0,1,0,0,0,10,6,P
4,Graham Ashcraft,2025-06-09,27-118,CIN,@,CLE,"W, 7-4","7-7, H",1.0,1,1,1,0,1,2,0,2,0,0,0,6,3,P
5,Kyle Backhus,2025-06-09,27-129,ARI,,SEA,"W, 8-4 (11)","7-7, H",0.2,2,0,0,0,0,0,0,1,0,0,0,4,2,P
6,Anthony Banda,2025-06-09,31-303,LAD,@,SDP,"W, 8-7 (10)",6-7,2.0,0,0,0,0,0,0,0,1,0,0,0,6,0,P
7,Tanner Banks,2025-06-09,33-228,PHI,,CHC,"W, 4-3 (11)","7-7, H",1.0,0,0,0,0,0,0,0,0,0,0,0,3,0,P
8,Shane Baz,2025-06-09,25-357,TBR,@,BOS,"W, 10-8 (11)",GS-6,5.1,3,3,3,0,0,3,0,5,1,0,0,22,7,P
9,Eduard Bazardo,2025-06-09,29-281,SEA,@,ARI,"L, 4-8 (11)",6-6,0.2,1,0,0,0,0,1,0,1,0,0,0,4,2,P
10,Jalen Beeks,2025-06-09,31-334,ARI,,SEA,"W, 8-4 (11)","11-GF(11), W",1.0,0,0,0,0,0,0,0,1,0,0,0,3,0,P
11,Brayan Bello,2025-06-09,26-023,BOS,,TBR,"L, 8-10 (11)",GS-7,6.1,7,4,3,1,0,1,0,4,1,0,0,27,9,P
12,Brennan Bernardino,2025-06-09,33-145,BOS,,TBR,"L, 8-10 (11)",7-7,0.1,2,2,2,0,0,1,1,1,0,0,1,4,3,P
13,José Berríos,2025-06-09,31-013,TOR,@,STL,"W, 5-4 (10)",GS-7,6.2,4,0,0,0,0,2,0,1,0,0,0,25,6,P
14,Matthew Boyd,2025-06-09,34-127,CHC,@,PHI,"L, 3-4 (11)",GS-6,6.0,8,2,1,1,0,2,0,0,0,0,0,25,10,P
15,Jeff Brigham,2025-06-09,33-113,ARI,,SEA,"W, 8-4 (11)",9-9,0.0,4,3,3,0,1,0,0,0,0,0,0,4,4,P
16,Connor Brogdon,2025-06-09,30-131,LAA,,ATH,"W, 7-4",8-8,0.0,2,2,2,0,1,1,0,0,0,0,0,3,3,P
17,Mike Burrows,2025-06-09,25-213,PIT,,MIA,"W, 10-3",GS-5,4.1,4,2,2,0,1,3,0,6,0,0,0,20,8,P
18,Aroldis Chapman,2025-06-09,37-101,BOS,,TBR,"L, 8-10 (11)",10-10,1.0,1,1,0,1,0,0,0,2,0,0,0,4,1,P
19,Aaron Civale,2025-06-09,29-362,MIL,,ATL,"L, 1-7","GS-5, L",4.2,5,2,2,0,1,2,0,5,1,0,0,21,8,P
20,Garrett Cleavinger,2025-06-09,31-047,TBR,@,BOS,"W, 10-8 (11)","6-6,BS",0.2,1,0,0,0,0,0,0,2,1,0,0,4,2,P
21,Jeremiah Estrada,2025-06-09,26-220,SDP,,LAD,"L, 7-8 (10)",7-8,1.1,0,0,0,0,0,0,0,1,0,0,0,4,0,P
22,Pete Fairbanks,2025-06-09,31-175,TBR,@,BOS,"W, 10-8 (11)","8-9,BS",1.1,3,2,2,0,0,1,0,1,0,0,0,8,4,P
23,Caleb Ferguson,2025-06-09,28-342,PIT,,MIA,"W, 10-3","6-7, W",2.0,0,0,0,0,0,0,0,2,0,0,0,6,0,P
24,Tyler Ferguson,2025-06-09,31-247,ATH,@,LAA,"L, 4-7",8-GF(8),1.0,3,3,3,0,0,1,0,1,1,0,0,8,5,P
25,Matt Festa,2025-06-09,32-090,CLE,,CIN,"L, 4-7",5-6,1.0,1,1,1,0,0,0,0,0,0,0,0,4,1,P
26,Ian Gibaut,2025-06-09,31-202,CIN,@,CLE,"W, 7-4","6-6, H",1.0,1,0,0,0,0,0,0,1,0,0,0,4,1,P
27,Luis Guerrero,2025-06-09,24-308,BOS,,TBR,"L, 8-10 (11)",7-9,2.1,1,1,1,0,0,2,0,0,0,0,0,10,3,P
28,DL Hall,2025-06-09,26-263,MIL,,ATL,"L, 1-7",5-8,3.0,3,2,2,0,1,1,0,1,0,0,0,13,4,P
29,Emerson Hancock,2025-06-09,26-009,SEA,@,ARI,"L, 4-8 (11)",GS-5,5.0,6,2,2,0,1,3,0,3,0,0,0,23,9,P
30,Ryan Helsley,2025-06-09,30-326,STL,,TOR,"L, 4-5 (10)","9-9,BS",1.0,2,1,1,0,1,0,0,2,0,0,0,5,2,P
31,Carlos Hernández,2025-06-09,28-090,PHI,,CHC,"W, 4-3 (11)","11-GF(11), W",1.0,1,1,0,1,0,0,0,1,0,0,1,4,1,P
32,Tim Herrin,2025-06-09,28-244,CLE,,CIN,"L, 4-7",6-6,0.1,1,0,0,0,0,1,0,0,0,0,0,3,2,P
33,Jeff Hoffman,2025-06-09,32-152,TOR,@,STL,"W, 5-4 (10)","10-GF(10), S",1.0,0,0,0,0,0,0,0,1,0,0,0,3,0,P
34,Grant Holman,2025-06-09,25-009,ATH,@,LAA,"L, 4-7",GS-1,1.0,0,0,0,0,0,0,0,0,0,0,0,3,0,P
35,Raisel Iglesias,2025-06-09,35-156,ATL,@,MIL,"W, 7-1",8-8,1.0,0,0,0,0,0,0,0,2,0,0,0,3,0,P
36,Kenley Jansen,2025-06-09,37-252,LAA,,ATH,"W, 7-4",9-GF,0.1,0,0,0,0,0,0,0,0,0,0,0,1,0,P
37,Jakob Junis,2025-06-09,32-266,CLE,,CIN,"L, 4-7",7-7,1.0,2,1,1,0,0,1,0,1,0,0,0,6,3,P
38,Janson Junk,2025-06-09,29-145,MIA,@,PIT,"L, 3-10",4-7,4.0,9,5,5,0,0,1,0,1,0,0,0,22,11,P
39,Brad Keller,2025-06-09,29-317,CHC,@,PHI,"L, 3-4 (11)",8-9,1.1,3,0,0,0,0,0,0,0,0,0,0,5,3,P
