Rk,Player,Date,Age,Team,Unnamed: 5,Opp,Result,"App,Dec",IP,H,R,ER,UER,HR,BB,IBB,SO,HBP,BK,WP,BF,BR,Pos
1,Mick Abel,2025-06-16,23-302,PHI,@,MIA,"W, 5-2","GS-5, W",5.0,3,1,1,0,0,1,0,3,1,0,0,20,5,P
2,Bryan Abreu,2025-06-16,28-055,HOU,@,ATH,"L, 1-3","9-GF, L",0.0,1,2,2,0,1,1,0,0,0,0,0,2,2,P
3,Sandy Alcantara,2025-06-16,29-282,MIA,,PHI,"L, 2-5","GS-5, L",5.0,5,2,2,0,2,1,0,5,0,0,0,21,6,P
4,Anthony Banda,2025-06-16,31-310,LAD,,SDP,"W, 6-3",2-2,0.2,0,0,0,0,0,1,0,2,0,0,0,3,1,P
5,Eduard Bazardo,2025-06-16,29-288,SEA,,BOS,"L, 0-2",6-6,1.0,0,0,0,0,0,1,0,0,0,0,0,3,1,P
6,Valente Bellozo,2025-06-16,25-163,MIA,,PHI,"L, 2-5",6-8,3.0,3,1,1,0,0,0,0,1,0,0,0,12,3,P
7,Brock Burke,2025-06-16,28-316,LAA,@,NYY,"W, 1-0 (11)","11-11, H",0.2,1,0,0,0,0,1,1,0,0,0,0,4,2,P
8,Ben Casparius,2025-06-16,26-125,LAD,,SDP,"W, 6-3","2-6, W",3.2,3,2,2,0,1,1,0,2,0,0,0,15,4,P
9,Dylan Cease,2025-06-16,29-170,SDP,@,LAD,"L, 3-6","GS-5, L",5.0,8,6,6,0,0,1,0,9,1,0,0,25,10,P
10,Aroldis Chapman,2025-06-16,37-108,BOS,@,SEA,"W, 2-0","9-GF, S",1.0,0,0,0,0,0,0,0,3,0,0,0,3,0,P
11,Fernando Cruz,2025-06-16,35-080,NYY,,LAA,"L, 0-1 (11)",8-8,0.1,0,0,0,0,0,0,0,1,0,0,0,1,0,P
12,Reid Detmers,2025-06-16,25-343,LAA,@,NYY,"W, 1-0 (11)",8-8,1.0,0,0,0,0,0,1,1,1,0,0,0,4,1,P
13,Shawn Dubin,2025-06-16,29-283,HOU,@,ATH,"L, 1-3",7-7,1.0,1,0,0,0,0,0,0,0,0,0,0,3,1,P
14,Zach Eflin,2025-06-16,31-069,BAL,@,TBR,"L, 1-7","GS-5, L",5.0,12,7,7,0,2,2,0,2,0,0,0,27,14,P
15,Kyle Finnegan,2025-06-16,33-285,WSN,,COL,"L, 4-6","9-GF, BL",1.0,3,3,3,0,2,0,0,0,0,0,0,6,3,P
16,Cade Gibson,2025-06-16,27-118,MIA,,PHI,"L, 2-5",9-GF,1.0,2,2,2,0,0,1,0,0,1,0,0,7,4,P
17,Logan Gilbert,2025-06-16,28-042,SEA,,BOS,"L, 0-2","GS-5, L",5.0,3,2,2,0,1,1,0,10,0,0,0,19,4,P
18,J.T. Ginn,2025-06-16,26-027,ATH,,HOU,"W, 3-1",6-8,3.0,1,0,0,0,0,0,0,5,0,0,0,9,1,P
19,Lucas Giolito,2025-06-16,30-337,BOS,@,SEA,"W, 2-0","GS-6, W",6.0,3,0,0,0,0,1,0,10,0,0,0,21,4,P
20,Ryan Gusto,2025-06-16,26-097,HOU,@,ATH,"L, 1-3",GS-5,5.0,3,1,1,0,1,1,0,8,0,0,0,20,5,P
21,Seth Halvorsen,2025-06-16,25-118,COL,@,WSN,"W, 6-4","9-GF, S",1.0,0,0,0,0,0,1,0,0,0,0,0,3,1,P
22,Jimmy Herget,2025-06-16,31-280,COL,@,WSN,"W, 6-4",7-7,1.0,0,0,0,0,0,0,0,0,0,0,0,3,0,P
23,Jake Irvin,2025-06-16,28-118,WSN,,COL,"L, 4-6",GS-6,6.0,5,3,3,0,1,1,0,5,0,0,0,23,6,P
24,Kenley Jansen,2025-06-16,37-259,LAA,@,NYY,"W, 1-0 (11)",9-9,1.0,1,0,0,0,0,0,0,2,0,0,0,4,1,P
25,Orion Kerkering,2025-06-16,24-073,PHI,@,MIA,"W, 5-2","9-GF, S",1.0,0,0,0,0,0,0,0,1,0,0,0,3,0,P
26,Bryan King,2025-06-16,28-223,HOU,@,ATH,"L, 1-3",8-8,1.0,1,0,0,0,0,0,0,1,1,0,0,4,2,P
27,Michael Kopech,2025-06-16,29-047,LAD,,SDP,"W, 6-3","7-7, H",1.0,1,0,0,0,0,0,0,1,0,0,0,4,1,P
28,Jonathan Loáisiga,2025-06-16,30-226,NYY,,LAA,"L, 0-1 (11)","10-GF(11), L",2.0,1,1,0,1,0,2,1,2,0,0,0,9,3,P
29,Brad Lord,2025-06-16,25-122,WSN,,COL,"L, 4-6","7-8, H",2.0,0,0,0,0,0,0,0,2,0,0,0,6,0,P
30,Juan Mejia,2025-06-16,24-347,COL,@,WSN,"W, 6-4",5-6,1.1,0,0,0,0,0,0,0,2,0,0,0,4,0,P
31,Mason Miller,2025-06-16,26-296,ATH,,HOU,"W, 3-1","9-GF, W",1.0,0,0,0,0,0,0,0,2,0,0,0,3,0,P
32,David Morgan,2025-06-16,25-233,SDP,@,LAD,"L, 3-6",7-GF(8),2.0,1,0,0,0,0,1,0,2,0,0,0,8,2,P
33,Steven Okert,2025-06-16,33-342,HOU,@,ATH,"L, 1-3",6-6,1.0,0,0,0,0,0,0,0,1,0,0,0,3,0,P
34,Shohei Ohtani,2025-06-16,30-346,LAD,,SDP,"W, 6-3",GS-1,1.0,2,1,1,0,0,0,0,0,0,0,1,5,2,P DH
