Rk,Player,Date,Age,Team,Unnamed: 5,Opp,Result,"App,Dec",IP,H,R,ER,UER,HR,BB,IBB,SO,HBP,BK,WP,BF,BR,Pos
1,Ty Adcock,2025-06-15,28-128,NYM,,TBR,"L, 0-9",7-8,1.2,0,0,0,0,0,1,0,4,0,0,0,6,1,P
2,Dan Altavilla,2025-06-15,32-280,CHW,@,TEX,"L, 1-2",6-7,1.1,0,0,0,0,0,1,0,0,0,0,0,5,1,P
3,Graham Ashcraft,2025-06-15,27-124,CIN,@,DET,"W, 8-4","7-7, W",1.0,3,2,2,0,0,0,0,1,0,0,0,6,3,P
4,Lake Bachar,2025-06-15,30-012,MIA,@,WSN,"W, 3-1","5-6, W",2.0,1,0,0,0,0,0,0,2,1,0,0,7,2,P
5,Tanner Banks,2025-06-15,33-234,PHI,,TOR,"W, 11-4",7-7,1.0,4,2,2,0,0,0,0,0,0,0,0,7,4,P
6,Scott Barlow,2025-06-15,32-179,CIN,@,DET,"W, 8-4",6-6,1.0,1,0,0,0,0,0,0,0,0,0,0,4,1,P
7,Shane Baz,2025-06-15,25-363,TBR,@,NYM,"W, 9-0","GS-7, W",6.2,3,0,0,0,0,4,0,6,1,0,0,27,8,P
8,Eduard Bazardo,2025-06-15,29-287,SEA,,CLE,"W, 6-0",9-GF,1.0,1,0,0,0,0,0,0,1,0,0,0,4,1,P
9,David Bednar,2025-06-15,30-248,PIT,@,CHC,"L, 2-3 (10)","10-GF(10), L",0.1,1,1,0,1,0,1,1,1,0,0,0,3,2,P
10,Brayan Bello,2025-06-15,26-029,BOS,,NYY,"W, 2-0","GS-7, W",7.0,3,0,0,0,0,3,0,8,0,0,0,26,7,P
11,Brennan Bernardino,2025-06-15,33-151,BOS,,NYY,"W, 2-0","8-8, H",0.1,2,0,0,0,0,0,0,1,0,0,0,3,2,P
12,José Berríos,2025-06-15,31-019,TOR,@,PHI,"L, 4-11","GS-5, L",4.2,9,6,6,0,1,1,1,5,0,0,0,22,10,P
13,Jake Bird,2025-06-15,29-193,COL,@,ATL,"W, 10-1","6-6, BW",1.0,4,1,1,0,0,0,0,1,0,0,0,6,4,P
14,Scott Blewett,2025-06-15,29-066,BAL,,LAA,"W, 11-2",GS-3,2.2,2,2,2,0,1,0,0,1,0,0,0,10,2,P
15,Cam Booser,2025-06-15,33-042,CHW,@,TEX,"L, 1-2",7-7,0.2,1,0,0,0,0,0,0,0,0,0,0,3,1,P
16,Connor Brogdon,2025-06-15,30-137,LAA,@,BAL,"L, 2-11",6-7,1.1,3,4,4,0,1,1,1,1,0,0,0,8,4,P
17,Aaron Bummer,2025-06-15,31-267,ATL,,COL,"L, 1-10",8-8,0.2,1,0,0,0,0,0,0,0,1,0,0,3,2,P
18,Génesis Cabrera,2025-06-15,28-248,CHC,,PIT,"W, 3-2 (10)",8-8,1.0,0,0,0,0,0,1,0,0,0,0,0,3,1,P
19,Noah Cameron,2025-06-15,25-333,KCR,,ATH,"L, 2-3",GS-5,5.0,4,0,0,0,0,1,0,7,0,0,0,19,5,P
20,Griffin Canning,2025-06-15,29-035,NYM,,TBR,"L, 0-9","GS-5, L",4.1,4,6,6,0,0,5,0,2,0,0,1,21,9,P
21,Yennier Cano,2025-06-15,31-098,BAL,,LAA,"W, 11-2",9-GF,1.0,0,0,0,0,0,1,0,1,0,0,0,3,1,P
22,Aaron Civale,2025-06-15,30-003,CHW,@,TEX,"L, 1-2","GS-5, L",5.0,6,2,2,0,0,4,0,4,0,0,0,24,10,P
23,Enyel De Los Santos,2025-06-15,29-172,ATL,,COL,"L, 1-10",7-7,0.0,3,4,4,0,0,1,0,0,0,0,0,4,4,P
24,Anthony DeSclafani,2025-06-15,35-058,ARI,,SDP,"L, 2-8",7-GF,2.1,3,2,2,0,1,0,0,2,0,0,0,10,3,P
25,Seranthony Domínguez,2025-06-15,30-202,BAL,,LAA,"W, 11-2","7-7, H",0.2,0,0,0,0,0,0,0,2,0,0,0,2,0,P
26,Shawn Dubin,2025-06-15,29-282,HOU,,MIN,"W, 2-1 (10)",7-8,0.2,2,0,0,0,0,0,0,0,0,0,0,4,2,P
27,Jhoan Durán,2025-06-15,27-158,MIN,@,HOU,"L, 1-2 (10)","9-9,BS",1.0,1,1,1,0,0,1,0,1,0,0,0,5,2,P
28,Brandon Eisert,2025-06-15,27-147,CHW,@,TEX,"L, 1-2",8-GF(8),0.1,0,0,0,0,0,0,0,0,0,0,0,1,0,P
29,Nic Enright,2025-06-15,28-158,CLE,@,SEA,"L, 0-6",7-7,1.0,0,0,0,0,0,0,0,0,1,0,0,4,1,P
30,Lucas Erceg,2025-06-15,30-045,KCR,,ATH,"L, 2-3",7-8,1.1,1,0,0,0,0,0,0,0,0,0,0,4,1,P
31,Carlos Estévez,2025-06-15,32-169,KCR,,ATH,"L, 2-3","9-GF, L",1.0,1,1,1,0,1,1,0,1,0,0,0,5,2,P
32,Tyler Ferguson,2025-06-15,31-253,ATH,@,KCR,"W, 3-2","7-8, W",1.1,0,0,0,0,0,0,0,2,0,0,0,4,0,P
33,Chris Flexen,2025-06-15,30-349,CHC,,PIT,"W, 3-2 (10)","10-GF(10), W",1.0,0,0,0,0,0,0,0,0,0,0,0,3,0,P
34,Mason Fluharty,2025-06-15,23-306,TOR,@,PHI,"L, 4-11",5-5,0.1,2,0,0,0,0,0,0,0,0,0,0,3,2,P
35,Max Fried,2025-06-15,31-148,NYY,@,BOS,"L, 0-2","GS-7, L",7.0,6,2,2,0,1,2,0,9,0,0,0,27,9,P
36,Sawyer Gipson-Long,2025-06-15,27-185,DET,,CIN,"L, 4-8",2-4,3.0,3,2,1,1,0,1,0,2,0,0,1,13,4,P
37,Austin Gomber,2025-06-15,31-204,COL,@,ATL,"W, 10-1",GS-5,5.0,2,0,0,0,0,1,0,4,0,0,0,18,3,P
38,MacKenzie Gore,2025-06-15,26-111,WSN,,MIA,"L, 1-3","GS-6, L",6.0,8,2,2,0,1,1,0,5,0,0,1,26,9,P
39,Josh Hader,2025-06-15,31-069,HOU,,MIN,"W, 2-1 (10)","10-GF(10), W",1.0,0,0,0,0,0,0,0,1,0,0,0,3,0,P
40,Emerson Hancock,2025-06-15,26-015,SEA,,CLE,"W, 6-0","GS-7, W",7.0,2,0,0,0,0,1,0,4,0,0,0,22,3,P
41,Brenan Hanifee,2025-06-15,27-017,DET,,CIN,"L, 4-8",8-GF,1.1,2,2,2,0,1,0,0,1,0,0,0,6,2,P
42,Cole Henry,2025-06-15,25-335,WSN,,MIA,"L, 1-3",9-GF,1.0,0,0,0,0,0,0,0,2,0,0,0,3,0,P
43,Sean Hjelle,2025-06-15,28-039,SFG,@,LAD,"L, 4-5",GS-4,3.2,3,2,2,0,1,2,0,5,0,0,0,16,5,P
44,Grant Holmes,2025-06-15,29-085,ATL,,COL,"L, 1-10","GS-7, L",6.1,2,3,2,1,1,2,0,15,1,0,0,24,6,P
45,Tyler Holton,2025-06-15,29-002,DET,,CIN,"L, 4-8",GS-1,1.0,0,0,0,0,0,0,0,1,0,0,0,3,0,P
46,Brant Hurter,2025-06-15,26-282,DET,,CIN,"L, 4-8",7-8,1.0,2,1,0,1,0,0,0,0,0,0,0,5,3,P
47,Luke Jackson,2025-06-15,33-295,TEX,,CHW,"W, 2-1","9-GF, S",1.0,0,0,0,0,0,0,0,1,0,0,0,3,0,P
48,Kenley Jansen,2025-06-15,37-258,LAA,@,BAL,"L, 2-11",8-GF(8),1.0,2,2,2,0,1,0,0,3,0,0,0,5,2,P
